Orthogroup	apple_prot	fruticosa_prot	peach_prot	subA___prot	subA_prot	subB_prot	sweet_cherry_prot	Total
OG0000390	3	14	3	5	5	1	3	34
OG0000391	4	16	4	3	2	2	3	34
OG0000392	8	8	4	5	3	3	3	34
OG0000393	2	17	3	1	2	2	7	34
OG0000394	6	12	3	3	3	3	4	34
OG0000395	4	10	1	3	2	7	7	34
OG0000396	7	12	2	3	2	4	4	34
OG0000397	4	12	4	3	3	4	4	34
OG0000398	6	10	4	2	4	4	4	34
OG0000399	5	6	4	4	5	5	5	34
OG0000400	1	18	5	4	3	2	1	34
OG0000401	0	10	5	2	1	4	12	34
OG0000402	0	11	4	5	4	5	5	34
OG0000403	7	8	4	3	4	4	3	33
OG0000404	19	5	1	5	1	1	1	33
OG0000405	3	8	3	9	7	3	0	33
OG0000406	3	14	4	3	3	3	3	33
OG0000407	2	12	4	4	4	4	3	33
OG0000408	1	10	1	4	3	7	7	33
OG0000409	10	9	6	0	5	2	1	33
OG0000410	3	8	5	0	6	7	4	33
OG0000411	4	8	4	4	4	3	6	33
OG0000412	1	15	4	4	3	3	3	33
OG0000413	1	10	9	4	3	1	5	33
OG0000414	8	0	0	5	9	11	0	33
OG0000415	33	0	0	0	0	0	0	33
OG0000416	1	4	3	7	4	9	5	33
OG0000417	5	7	4	6	4	4	3	33
OG0000418	4	11	2	5	4	3	4	33
OG0000419	8	9	4	3	3	3	3	33
OG0000420	4	11	3	5	3	3	4	33
OG0000421	1	11	3	5	0	6	7	33
OG0000422	5	9	6	4	3	1	5	33
OG0000423	2	13	2	4	4	4	4	33
OG0000424	1	13	8	3	5	3	0	33
OG0000425	3	1	5	5	5	5	9	33
OG0000426	3	13	4	2	5	1	5	33
OG0000427	3	12	7	2	3	2	4	33
OG0000428	3	11	2	4	4	4	5	33
OG0000429	3	17	3	1	3	2	4	33
OG0000430	1	12	5	4	2	4	5	33
OG0000431	0	16	3	2	8	1	3	33
OG0000432	0	6	7	3	1	9	7	33
OG0000433	0	1	5	0	0	1	26	33
OG0000434	0	9	4	9	5	4	2	33
OG0000435	0	10	5	3	3	5	7	33
OG0000436	0	13	6	5	0	4	5	33
OG0000437	32	0	0	0	0	0	0	32
OG0000438	23	0	1	3	4	1	0	32
OG0000439	1	12	6	2	3	5	3	32
OG0000440	32	0	0	0	0	0	0	32
OG0000441	2	13	3	3	4	6	1	32
OG0000442	1	21	7	0	1	2	0	32
OG0000443	6	9	6	3	1	4	3	32
OG0000444	4	11	4	3	4	4	2	32
OG0000445	2	10	4	3	4	5	4	32
OG0000446	5	13	2	3	2	3	4	32
OG0000447	8	5	4	4	4	4	3	32
OG0000448	2	11	5	3	5	2	4	32
OG0000449	2	9	3	4	3	4	7	32
OG0000450	3	9	4	3	5	4	4	32
OG0000451	6	13	8	0	2	3	0	32
OG0000452	2	16	3	3	4	1	3	32
OG0000453	2	12	5	4	0	5	4	32
OG0000454	3	12	1	8	3	4	1	32
OG0000455	1	6	1	3	4	10	7	32
OG0000456	5	9	4	2	3	3	6	32
OG0000457	2	13	3	4	4	2	4	32
OG0000458	1	13	4	2	5	5	2	32
OG0000459	3	16	4	3	2	3	1	32
OG0000460	1	13	2	3	5	6	2	32
OG0000461	0	32	0	0	0	0	0	32
OG0000462	0	18	4	1	4	1	4	32
OG0000463	0	5	0	2	1	1	23	32
OG0000464	0	2	1	4	4	18	3	32
OG0000465	0	8	1	5	12	3	3	32
OG0000466	0	6	7	5	2	6	6	32
OG0000467	0	1	2	0	0	0	29	32
OG0000468	0	1	0	0	0	0	31	32
OG0000469	0	0	0	1	0	0	31	32
OG0000470	0	0	0	1	1	0	30	32
OG0000471	0	0	0	0	2	0	30	32
OG0000472	29	0	1	1	0	0	0	31
OG0000473	6	8	3	3	2	4	5	31
OG0000474	31	0	0	0	0	0	0	31
OG0000475	6	11	3	3	4	1	3	31
